,Run,Temperature,Pressure,Feed Rate,Phenol Fraction,Cross Sectional Area,Weigth,Selectivity,Conversion,Yield
302,409.0,873.15,12.25,187.5,0.0325,0.2,0.0236999999999999,1.3333457002220883,0.5131675589079154,8.000031800402539
301,408.0,873.15,12.25,187.5,0.0325,0.1625,0.0236999999999999,1.3333457002468951,0.5131625262470881,8.00003180046633
300,407.0,873.15,12.25,187.5,0.0325,0.125,0.0236999999999999,1.3333457003108435,0.513149554062145,8.000031800630762
2053,2656.0,1073.15,6.75,187.5,0.0325,0.0875,0.0550000000000005,1.3333532025255546,0.5131420223880074,8.000051091773507
2054,2657.0,1073.15,6.75,187.5,0.0325,0.125,0.0549000000000005,1.333353157304159,0.5131169724808277,8.0000509754919
1557,2030.0,1023.15,6.75,187.5,0.0325,0.05,0.0752000000000011,1.3333652525020905,0.513109001352252,8.000082076739748
299,406.0,873.15,12.25,187.5,0.0325,0.0875,0.0236999999999999,1.3333457005353533,0.5131040229505772,8.000031801208076
680,905.0,923.15,9.5,187.5,0.0325,0.05,0.0403000000000001,1.3333545061962275,0.5130700813205544,8.00005444401055
1559,2032.0,1023.15,6.75,187.5,0.0325,0.125,0.073900000000001,1.33336456259587,0.513045053419487,8.000080302743166
198,280.0,873.15,9.5,187.5,0.0325,0.05,0.0667000000000008,1.3333678487940317,0.5130349498729221,8.000088752728931
1070,1409.0,973.15,6.75,187.5,0.0325,0.2,0.1050000000000019,1.3333837441264145,0.5129927516702357,8.000129624953125
2052,2655.0,1073.15,6.75,187.5,0.0325,0.05,0.0556000000000005,1.333353476837705,0.512961246252965,8.00005179713551
199,281.0,873.15,9.5,187.5,0.0325,0.0875,0.0663000000000008,1.3333675916661225,0.5129575522129068,8.000088091562368
1066,1405.0,973.15,6.75,187.5,0.0325,0.05,0.107600000000002,1.333385311111151,0.5129433998445614,8.00013365416565
1068,1407.0,973.15,6.75,187.5,0.0325,0.125,0.1051000000000019,1.333383805221574,0.5129349635208462,8.000129782048186
684,909.0,923.15,9.5,187.5,0.0325,0.2,0.0401000000000001,1.3333543758444384,0.5129250994633873,8.000054108826312
1561,2034.0,1023.15,6.75,187.5,0.0325,0.2,0.073800000000001,1.3333645109987635,0.5129238469550123,8.000080170068449
582,782.0,923.15,6.75,187.5,0.0325,0.125,0.1603999999999986,1.3334161989049975,0.5129238072991824,8.000213075331464
583,783.0,923.15,6.75,187.5,0.0325,0.1625,0.1601999999999986,1.333416070276353,0.5129212511033586,8.000212744595558
